user_name	user_verified
UCI	TRUE
Outlook Magazine	TRUE
ABC SPORT	TRUE
Akshit Dahiya	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
Canada Soccer	TRUE
Oneindia News	TRUE
DT Next	TRUE
Firstpost Sports	TRUE
SuperSport Blitz	TRUE
Catch News	TRUE
BBC Merseyside Sport	TRUE
Devin Heroux	TRUE
Surbiton Hockey Club	TRUE
Express Sports	TRUE
ITF	TRUE
FIFA Women's World Cup	TRUE
International Hockey Federation	TRUE
Mutual Funds Sahi Hai	TRUE
Hyderabad FC	TRUE
SuperSport Blitz	TRUE
NewsMobile	TRUE
Mark Samuels	TRUE
Sandra Prusina	TRUE
British Dressage	TRUE
à?¯ç?ê	TRUE
Paolo del Rosario	TRUE
Luke Campbell MBE	TRUE
Deepak Lather	TRUE
7NEWS Sydney	TRUE
Amrrita Dhawan	TRUE
UtdDistrict	TRUE
SuperSport ??è?	TRUE
Josh Jenkins	TRUE
The Independent	TRUE
Phil Lutton	TRUE
FOX Sports Asia	TRUE
BBC Sport	TRUE
International Hockey Federation	TRUE
The FEI	TRUE
Telegraph Football	TRUE
RT?? Sport	TRUE
Telegraph WomenÉ??s Sport	TRUE
FIG	TRUE
Badminton Talk	TRUE
V Muraleedharan / Ö?ÊÖ?® Ö??ÖÊÅÖ?¯Ö??ÖÊ?Ö??Ö?¯ÖÊØ	TRUE
The Times Of India	TRUE
Times Internet	TRUE
OneFootball	TRUE
ABC News	TRUE
Cyclingnews.com	TRUE
Westfield W-League	TRUE
Greg Beacham	TRUE
Telegraph Sport	TRUE
Vikram Prabhu	TRUE
News18 Sports	TRUE
tv9gujarati	TRUE
Sarmistha Sethi	TRUE
BOXRAW	TRUE
Olympic Council of Asia	TRUE
HT Sports	TRUE
Prakash Abitkar	TRUE
Barkha Shukla Singh	TRUE
ROB Chandigarh	TRUE
Greg Beacham	TRUE
World Rugby Sevens	TRUE
Express Celebrity ???Æ	TRUE
Shaleen	TRUE
The New Zealand Team	TRUE
OK! Magazine	TRUE
The FEI	TRUE
TIMES NOW	TRUE
Rajasthan Youth Congress	TRUE
Thums Up	TRUE
ROB Chandigarh	TRUE
moneycontrol	TRUE
Sportface	TRUE
International Hockey Federation	TRUE
Jarni Blakkarly	TRUE
ABC SPORT	TRUE
Testbook	TRUE
TRT World Now	TRUE
The Jerusalem Post	TRUE
England Hockey	TRUE
Arab News Japan	TRUE
BWF	TRUE
"Regional Outreach Bureau, Patna"	TRUE
Sarang Bhalerao	TRUE
ANI Digital	TRUE
Callum Godde	TRUE
UCI	TRUE
Cycling Canada	TRUE
INEOS Grenadiers	TRUE
Beth Fisher	TRUE
Thums Up	TRUE
Gavin Ramjaun	TRUE
Anne Terpstra	TRUE
Doordarshan Sports	TRUE
Lewis Coombes	TRUE
BBC Sport	TRUE
Th.Biswajit Singh	TRUE
Matthew Mohan	TRUE
Canada Soccer	TRUE
talkSPORT	TRUE
Katami Michelle	TRUE
